P-1,390,185,100
P-2,390,380,100
P-4,390,380,200
P-10,390,380,380
2-Feb,570,130,160
2-Apr,570,260,160
2-Jun,570,260,240
2-Aug,570,260,320
2-Oct,570,400,260
Feb-15,570,400,400
R5,370,370,250
S1A,190,190,100
S1,210,210,210
P-5A,440,440,190
CP3,370,340,140
W1,475,400,530
W2,485,475,230
C2,810,410,520
C4,800,600,890
