MA000252215,190,186,23,1,0.390
MA000252881,190,186,23,66,0.223
MA000252881,190,186,23,3,0.227
MA000252881,190,186,23,19,0.240
MA000252881,190,186,23,2,0.285
MA000252881,190,186,23,6,0.236
MA000252881,190,186,23,6,0.230
MA000252881,190,186,23,6,0.245
MA000252881,190,186,23,36,0.221
MA000252881,190,186,23,4,0.228
MA000252881,190,186,23,34,0.224
MA000252881,190,186,23,242,0.223
MA000252881,190,186,23,6,0.236
MA000252881,190,186,23,12,0.230
MA000252881,190,186,23,1,0.430
MA000252881,190,186,23,34,0.222
MA000252881,190,186,23,57,0.225
MA000252881,190,186,23,42,0.151
MA000252881,190,186,23,6,0.230
MA000252881,190,186,23,20,0.234
MA000252881,190,186,23,35,0.222
MA000252881,190,186,23,13,0.229
MA000252881,190,186,23,3,0.243
MA000252881,190,186,23,6,0.233
MA000252881,190,186,23,72,0.223
MA000252881,190,186,23,1,0.330
MA000252881,190,186,23,6,0.228
MA000252881,190,186,23,1,0.330
MA000252881,190,186,23,145,0.227
MA000252881,190,186,23,3,0.247
MA000252881,190,186,23,6,0.230
MA000252881,190,186,23,18,0.235
MA000252881,190,186,23,5,0.240
MA000252881,190,186,23,1,0.378
MA000252881,190,186,23,14,0.226
MA000252881,190,186,23,3,0.250
MA000252881,190,186,23,1,0.380
MA000252881,190,186,23,6,0.236
MA000252881,190,186,23,6,0.230
MA000252881,190,186,23,5,0.240
MA000252881,190,186,23,33,0.222
MA000252881,190,186,23,6,0.240
MA000252881,190,186,23,5,0.232
MA000252881,190,186,23,25,0.255
MA000252881,190,186,23,12,0.235
MA000252881,190,186,23,54,0.253
MA000252881,190,186,23,194,0.224
MA000252881,190,186,23,16,0.255
MA000252881,190,186,23,8,0.227
MA000252881,190,186,23,34,0.223
MA000252881,190,186,23,19,0.230
MA000252881,190,186,23,36,0.221
MA000252881,190,186,23,72,0.220
MA000252881,190,186,23,6,0.236
MA000252881,190,186,23,24,0.230
MA000252881,190,186,23,48,0.233
MA000252881,190,186,23,12,0.227
MA000252881,190,186,23,4,0.233
MA000302764,190,186,23,1,0.250
MA000302801,190,186,23,1,0.230
MA000302801,190,186,23,4,0.163
MA000302801,190,186,23,19,0.167
MA000302801,190,186,23,4,0.165
MA000302801,190,186,23,10,0.165
MA000302801,190,186,23,4,0.163
MA000302801,190,186,23,3,0.000
MA000302801,190,186,23,4,0.165
MA000302801,190,186,23,4,0.168
MA000302801,190,186,23,4,0.168
MA000302801,190,186,23,4,0.158
MA000302801,190,186,23,10,0.170
MA000302801,190,186,23,4,0.168
MA000302801,190,186,23,7,0.260
MA000302801,190,186,23,6,0.163
MA000302801,190,186,23,4,0.168
MA000302801,190,186,23,2,0.195
MA000302801,190,186,23,3,0.177
MA000302801,190,186,23,4,0.163
MA000302801,190,186,23,4,0.168
MA000302801,190,186,23,4,0.160
MA000302801,190,186,23,3,0.183
MA000302801,190,186,23,11,0.180
MA000302801,190,186,23,4,0.195
MA000302801,190,186,23,17,0.175
MA000302801,190,186,23,4,0.158
MA000302801,190,186,23,2,0.205
MA000302801,190,186,23,18,0.165
MA000302801,190,186,23,6,0.165
MA000302801,190,186,23,4,0.158
MA000302801,190,186,23,4,0.163
MA000302801,190,186,23,6,0.166
MA000302801,190,186,23,15,0.158
MA000302801,190,186,23,6,0.163
MA000302801,190,186,23,17,0.167
MA000302801,190,186,23,8,0.157
MA000302801,190,186,23,6,0.160
MA000302801,190,186,23,3,0.177
MA000302801,190,186,23,4,0.163
MA000302801,190,186,23,4,0.168
MA000302801,190,186,23,11,0.162
MA000302801,190,186,23,4,0.170
MA000302801,190,186,23,15,0.158
MA000302801,190,186,23,4,0.170
MA000302801,190,186,23,4,0.163
MA000302801,190,186,23,4,0.163
MA000302801,190,186,23,18,0.162
MA000302801,190,186,23,15,0.156
MA000302801,190,186,23,10,0.170
MA000302801,190,186,23,12,0.165
MA000302801,190,186,23,4,0.163
MA000302801,190,186,23,4,0.163
MA000302801,190,186,23,24,0.160
MA000302801,190,186,23,2,0.195
MA000302801,190,186,23,24,0.159
MA000302801,190,186,23,2,0.215
MA000312341,190,186,23,4,0.163
MA000312341,190,186,23,2,0.190
MA000312341,190,186,23,4,0.163
MA000312341,190,186,23,16,0.154
MA000312341,190,186,23,6,0.173
MA000312341,190,186,23,4,0.163
MA000312341,190,186,23,4,0.163
MA000312341,190,186,23,4,0.135
MA000312341,190,186,23,30,0.156
MA000312341,190,186,23,32,0.155
MA000312341,190,186,23,36,0.153
MA000312341,190,186,23,4,0.168
MA000312341,190,186,23,4,0.163
MA000312341,190,186,23,4,0.163
MA000312341,190,186,23,11,0.159
MA000312341,190,186,23,26,0.161
MA000312341,190,186,23,11,0.159
MA000312341,190,186,23,8,0.160
MA000312341,190,186,23,30,0.156
MA000312341,190,186,23,4,0.163
MA000312341,190,186,23,4,0.158
MA000375462,340,341,37,4,2.153
MA000375462,340,341,37,4,2.138
MA000375462,340,341,37,2,2.122
MA000375462,340,341,37,6,2.090
MA000375462,340,341,37,2,2.127
MA000375462,340,341,37,6,2.064
MA000375462,340,341,37,1,2.304
MA000375462,340,341,37,1,2.304
MA000375462,340,341,37,4,2.123
MA000375462,340,341,37,1,2.264
MA000375462,340,341,37,4,2.108
MA000375462,340,341,37,1,2.284
MA000375462,340,341,37,6,2.072
MA000375462,340,341,37,2,2.142
MA000375462,340,341,37,3,2.164
MA000375462,340,341,37,10,2.109
MA000375462,340,341,37,9,2.129
MA000375462,340,341,37,2,2.132
MA000375462,340,341,37,2,2.122
